country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Denmark,10.1,10.8,9.6,8.51,7.38,7.79,9.98,9.18,17.4,12.8,24.1,19.7,18.6,23.3,35.8,28.3,32.2,21.2,27.9,30.1,30.4,37.9,54,55.9,54.8,68.1,51.7,43,55.8,60.2,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,0.569,0.521,0.346,0.243,0.21,0.163,0.137,0.0806,0.0716,0.0534,0.0656,0.0654,0.0984,0.0798,0.0843,0.0787,0.0868,0.259,0.208,0.212,,
Ecuador,,,,,,,,,,,,,,,,,,,,,10.5,7.97,7.18,5.56,2.66,4.08,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,107,52.8,48.2,38.5,20.7,21.2,21.4,22.9,16.8,10,18.7,16,13.9,10.8
Spain,28.9,20.3,,11.2,8.1,7.12,8.22,5.7,6.35,7.69,10.8,19.5,22.3,24.2,29.6,20.8,25.6,18.4,22.6,29.2,31,37.5,49.2,64.9,67.9,84.3,74.6,65.1,80,88,83.2,105,122,58.1,96.2,82.4,69.6,75.1,82.4,72.4,65.8,57.1,67.7,50.9,57.2,59.4
Finland,,,,,,,,5.23,8.11,78.8,10.5,15.9,21.8,28,25.9,16.1,11.1,10.6,26.4,37,21.6,31.5,39.9,72.2,30.2,26.3,15.7,10.9,10.9,10.3,,,,,,,,,,,,,,,,
France,9.78,7.36,6.81,8.96,9,7.79,6.19,5.07,6.81,7.74,14.3,19.9,16.7,21.9,33,24.6,28.2,23.4,34.5,32.5,31.2,36.5,46.4,10.1,101,106,85.3,64.4,73.5,73.6,80,105,103,50.2,72.1,72.3,54.2,67.4,81.8,73,85.6,87.3,106,84.8,,
UK,35.5,30,43.9,38.5,6.86,6.37,35.1,38.1,46.1,51.2,72.2,78.6,91.2,78.2,87.9,77.7,86.6,80.9,108,100,98.9,121,133,139,175,155,130,104,118,116,120,140,124,63.8,116,108,110,122,142,117,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,2.05,34.9,25.8,23.9,16.4,18.5,11.9,10,5.27,5.68,8.38,5.4,5.68,3.64,9.67,9.92,9.32,9.15,7.88,,,,,,,,,13.2
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,62.2,43.4,52.7,52,58.5,73.4,83.1,25.3,34,22.7,11.9,18.5,34.6,23.4,21.5,19.2,25.3,18.1,26.1,27.1
"Hong Kong, China",80.6,90.9,67,70.6,98.6,135,126,67.2,65.4,70.5,96.9,131,107,125,113,108,137,165,320,198,210,281,233,203,367,363,299,278,443,509,581,886,1250,606,1080,1190,909,1080,1120,1110,1030,995,1270,1060,1350,1780
Croatia,,,,,,,,,,,,,,,,,,,,,3.92,12.3,17.5,11.3,10.6,12.4,13.6,30.3,17.4,26.2,28.7,58.5,118,39.6,42.9,43.5,36,,36.1,33.8,36.2,38.4,40.6,33.4,36.5,38.5
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,19.5,27.5,28.8,36.2,33,11.7,22.9,21,13.2,16.1,14.6,10.3,14.1,17.5,22,18,20.1,17.8
Indonesia,,,,,,,,,,,,,,,,,,,,,32.9,40,13.5,23.1,45.7,16.2,14.3,15.4,23.3,28.5,28.5,38.1,49,19.4,39.8,47.7,43.7,46.7,38,47.4,41,45.7,51.3,46.7,46.8,46.8
India,,,,,,,,,,,,,,,,,,,,,,,,,,48.2,30.6,33.4,50.8,58.6,76.2,95.2,161,66,102,105,68.3,76.1,68.1,82.7,83,76.1,96.4,84.4,80.7,97.2
Ireland,,,,,,,,,,,,,,,,,,,,,,,59,77.2,69.5,81.7,68.9,46.6,51.7,58.7,53.8,70.3,53.3,18,25.9,27.2,45.3,48.4,71.4,55.2,43.8,40.1,43.5,28.5,,
Iran,3.67,4.56,4.73,6.41,,,,,,,,,,,,,,,2.02,3.9,9.5,14.1,13.3,13.5,19.2,24.4,5.82,9.14,17.9,22.4,16.1,13.6,12.5,11.8,14.2,17.8,17.1,14.1,70.2,25.3,21.9,22.1,21.9,43.5,113,508
Israel,,,,,,,,,,,,,,,,,,,,,34.8,31.2,39,34.1,54,49.1,42.8,33.7,53.4,65.6,83.3,102,128,48.8,89,95.5,58.8,61.7,68.3,63.8,80.4,66.4,64.5,49.8,59,63.4
